2023-10-07 03:29:07 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [44/200] Loss:[0.0707] Train:[42.24] Val:[43.04] Biased Test:[34.14] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[52.93]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[14.21 min] | [0.17%] [36.89%] [22.22%] [15.79%] [24.93%]
2023-10-07 03:29:26 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [45/200] Loss:[0.0937] Train:[38.52] Val:[41.39] Biased Test:[34.67] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[48.79]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[14.53 min] | [0.44%] [33.83%] [27.35%] [10.20%] [28.18%]
2023-10-07 03:29:45 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [46/200] Loss:[0.0692] Train:[40.81] Val:[40.27] Biased Test:[32.65] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[49.97]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[14.85 min] | [0.02%] [29.28%] [32.08%] [11.51%] [27.11%]
2023-10-07 03:30:04 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [47/200] Loss:[0.0635] Train:[38.69] Val:[40.19] Biased Test:[30.84] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[51.33]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[15.16 min] | [0.00%] [28.73%] [33.17%] [11.80%] [26.30%]
2023-10-07 03:30:23 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [48/200] Loss:[0.0720] Train:[37.25] Val:[42.25] Biased Test:[35.95] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[50.40]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[15.48 min] | [0.02%] [33.92%] [29.09%] [11.83%] [25.13%]
2023-10-07 03:30:42 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [49/200] Loss:[0.0544] Train:[41.12] Val:[45.31] Biased Test:[37.16] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[54.76]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[15.80 min] | [0.00%] [37.57%] [26.08%] [10.73%] [25.62%]
2023-10-07 03:31:01 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [50/200] Loss:[0.0479] Train:[41.03] Val:[45.41] Biased Test:[37.52] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[54.58]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[16.12 min] | [0.00%] [34.33%] [29.56%] [10.88%] [25.23%]
2023-10-07 03:31:21 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [51/200] Loss:[0.0497] Train:[40.96] Val:[45.69] Biased Test:[37.80] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[55.01]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.56]| epoch:[7] | Time:[16.44 min] | [0.00%] [34.45%] [27.79%] [12.07%] [25.69%]
2023-10-07 03:31:40 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [52/200] Loss:[0.0486] Train:[40.53] Val:[45.64] Biased Test:[37.33] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[55.60]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.60]| epoch:[7] | Time:[16.75 min] | [0.00%] [30.56%] [33.71%] [10.44%] [25.29%]
2023-10-07 03:31:59 | Train IMP:[1] spa[0.00%] spw:[0.00%] | Epoch [53/200] Loss:[0.0388] Train:[40.56] Val:[44.15] Biased Test:[35.09] Update Biased Test:[40.52] Best Biased Test:[40.52]| Unbiased Test:[55.09]  Update Unbiased Test:[50.85] Best Unbiased Test:[55.60]| epoch:[7] | Time:[17.07 min] | [0.00%] [30.69%] [31.91%] [11.20%] [26.20%]
